Nr,Name,Email,Telefon,Web
1,Kurierdienst Manfred Bruns e.Kfm.,info@kurierdienst-manfred-bruns.net,(0421) 3 96 33 39,https://www.gelbeseiten.de/gsbiz/b97f325d-a22f-4451-bcc5-569da8dab015
2,Exclusiv-Yachtcharter & Schifffahrtsgesellschaft mbH,info@exclusiv-yachtcharter.de,(030) 43 66 68 36,https://www.gelbeseiten.de/gsbiz/dacca28b-696e-4d82-bb97-72c9c0eececa
3,ODERHAFF Reederei Peters GmbH & Co.KG,info@reederei-peters.de,(039771) 2 24 26,https://www.gelbeseiten.de/gsbiz/d4262ca6-afa8-41b2-b5d1-246530b12ab3
4,Griepe Container GmbH,griepe-containergmbh@t-online.de,(0421) 6 44 00 00,https://www.gelbeseiten.de/gsbiz/49b40d6d-0e4d-4664-8b91-fc584cdf5f40
5,trans-at Internationale Spedition,info@trans-at.de,(0761) 40 20 54,https://www.gelbeseiten.de/gsbiz/c3ff4a48-ea78-479c-9a03-0aae1ac5d505
6, Caesar Simon & Sohn GmbH & Co.KG Schädlingsbekämpfungsmittel,info@caesarsimon.net,(040) 7 10 20 27,https://www.gelbeseiten.de/gsbiz/580fd446-fb48-407a-b8b4-3655470524c1
7,Wyker Dampfschiff-Reederei GmbH,info@faehre.de,(04667) 9 40 30,https://www.gelbeseiten.de/gsbiz/e25c42e4-f214-4c21-97d4-1a4de834bde2
8,AGT Welt der Reisen,info@welt-der-reisen.de,(040) 80 05 08 00,https://www.gelbeseiten.de/gsbiz/42e420f5-49f9-4d7f-8f64-b44dd9b06802
9,Reederei Baltrum-Linie,info@baltrum-linie.de,(04933) 99 23 40-0,https://www.gelbeseiten.de/gsbiz/3687ccd7-3daa-4960-a76c-67a9bda53d77
10,Reederei Herbert Ekkenga AG,weisse-flotte-zwischenahn@t-online.de,(04403) 94 95 97,https://www.gelbeseiten.de/gsbiz/6d6be639-1c95-4101-8b72-af995dd35dce
11,Reederei Belis,info@ostsee-seebestattungen.de,(04503) 52 72,https://www.gelbeseiten.de/gsbiz/a3447eb9-7b6f-49b4-b1a4-60eabc7cd0b9
12,AGOTRANS Air Cargo GmbH,info@agotrans-frankfurt.de,(069) 6 97 00 50,https://www.gelbeseiten.de/gsbiz/c5abccd6-9f4f-4de0-96e3-eaa1ce810dfa
13,Reederei H.G. Rahder GmbH Fahrkartenverkauf,info@rahder.de,(04834) 36 12,https://www.gelbeseiten.de/gsbiz/550f1199-e2da-48d7-86df-730021dc2542
14,Kinderhauser Reisecenter TUI TRAVELStar,info@kinderhauser-reisecenter.de,(0251) 9 21 09-12,https://www.gelbeseiten.de/gsbiz/9302f4e4-a417-44a3-8390-49ede4d8918e
15,"zusätzliche Trauungsorte, MS Heiterkeit Reederei Lüdicke",info@ms-heiterkeit.de,(030) 36 43 15 88,https://www.gelbeseiten.de/gsbiz/f2eef86a-e9d4-4c16-9540-84ccd905605d
16,Reederei Riedel GmbH,info@reederei-riedel-halle.de,(0345) 2 83 20 70,https://www.gelbeseiten.de/gsbiz/b12f61bb-a54d-4cf7-9ffe-22a191790882
17,"Hanse Stempel-Perten e.K, Inhaber: Henrik Nienaber",mail@hanse-stempel-perten.de,(040) 32 42 26,https://www.gelbeseiten.de/gsbiz/be88f88e-0117-4f62-b359-f95bcec37ad6
18,Bettwanzenspürhunde Prosch,info@wanzenspuerhunde.de,(0177) 7 47 42 99,https://www.gelbeseiten.de/gsbiz/56f7ce76-9ab2-45c4-bab0-83b991a0a859
19,atlantic Reisebüro Lufthansa City Center Karl Geuther GmbH & Co. KG,atlantic-rsb@geuther.com,(0421) 1 76 04 44,https://www.gelbeseiten.de/gsbiz/78a4f353-1e25-4392-a380-0496c41fc724
20,atlantic Reisebüro Lufthansa City Center,atlantic-bhv@geuther.com,(0471) 94 59 20,https://www.gelbeseiten.de/gsbiz/fd581e5f-c467-4f26-82ab-2eb583428416
21,"Reisebüro Striffler, Inh. CTS Reisebüro GmbH Lufthansa City Center",post@mainz-lcc.de,(06131) 27 06 40,https://www.gelbeseiten.de/gsbiz/56a01167-a180-4e7c-bec5-7fd41e27e613
22,Atlantik-Luft-Reederei H.J. Bopst GmbH & Co. KG,andrea.kreuzer@bedtravel.de,(089) 28 66 11-0,https://www.gelbeseiten.de/gsbiz/cbee7266-1a08-4c56-a870-d0dd01f7ae70
