Nr,Name,Address,Email,Telefon,Web
1,Bauer-Verfahrenstechnik,Hauptstr. 8 86926  Greifenberg,info@bvg-gr.de,(08192) 93 05 35,https://www.gelbeseiten.de/gsbiz/4f40de2e-83c8-4656-a959-98e888f8d51a
2,IBS-Anlagentechnik GmbH,Ligusterweg 6 40723  Hilden,info@IBS-Anlagentechnik.de,(02103) 3 95 88-0,https://www.gelbeseiten.de/gsbiz/d204dc96-4aa7-4488-9595-c74dd0a513f9
3,inTec GmbH,Meerscheider Busch 23 42699  Solingen-Merscheid,info@intec-lackiersysteme.de,(0212) 38 24 80,https://www.gelbeseiten.de/gsbiz/7de853b7-7048-4518-af2c-c30b5d8cd6ff
4,Kaden & Döring OHG,Erzstr. 2 09633  Halsbrücke,,(03731) 7 74 89 10,https://www.gelbeseiten.de/gsbiz/be41d1a0-bff7-446b-bb02-a0b4f7a7e8a5
5,Bay Anlagenbau GmbH,Fritz-Müller-Str. 96 73730  Esslingen-Oberesslingen,info@bay-anlagenbau.de,(0711) 90 12 18-0,https://www.gelbeseiten.de/gsbiz/2dc3c06b-7ca8-4490-bca4-45d6f951f97d
6,BLANTEC,Wilhelm-Jerger-Str. 18 78078  Niedereschach,info@blantec.de,(07728) 6 45 58 80,https://www.gelbeseiten.de/gsbiz/1ffff0f6-eccf-48fe-ab14-63ecfa50ea3e
7,ECPM GmbH,Zweisimmenstr. 8 74420  Oberrot,info@ecpm-gmbh.de,(07977) 9 19 92-0,https://www.gelbeseiten.de/gsbiz/d86d028d-f662-44ef-abf6-222f363e3578
8,Ernst Schnittker GmbH,Marie-Curie-Str. 1 27283  Verden-Eitze,ernst.schnittker@t-online.de,(04231) 9 01 30 40,https://www.gelbeseiten.de/gsbiz/27f7c324-55c5-408c-b24f-34e9d079772d
9,Niro-Form Edelstahl GmbH,Kopenhagener Str. 72 13407  Berlin-Reinickendorf,niroform-gmbh@web.de,(030) 41 74 87 61,https://www.gelbeseiten.de/gsbiz/f3f1eb05-c986-4290-b40a-a9b78e3c105c
10,S & B Montagen GmbH Halle,Trothaer Str. 43a 06118  Halle-Trotha,info@sundb-halle.de,(0345) 4 78 84 70,https://www.gelbeseiten.de/gsbiz/46240b22-31e4-4165-8665-56b3dcb7b403
11,DKM Anlagenbau GmbH,Donaustr. 13 94491  Hengersberg,info@dkm-anlagenbau.de,(09901) 8 94,https://www.gelbeseiten.de/gsbiz/6f21b20e-3848-4167-ab19-af96bc8a3503
12,Fennert Druckluft - Anlagenbau und Service GmbH,Hansestr. 21 18182  Bentwisch,info@fennert.com,(0381) 20 27 04 60,https://www.gelbeseiten.de/gsbiz/270d056a-f862-443d-a0ad-3e4098dbcc37
13,FF - Elektro GmbH Elektroinstallation,Reesestr. 7 22083  Hamburg-Barmbek-Süd,info@ff-elektro.de,(040) 6 79 15 15,https://www.gelbeseiten.de/gsbiz/09dab0e7-4569-494c-bf08-7b782de77bf1
14,MB Anlagentechnologie GmbH & Co. KG,Tungendorfer Str. 10 24536  Neumünster-Tungendorf,blunck@mb-anlagenbau.de,(04321) 5 59 29-0,https://www.gelbeseiten.de/gsbiz/475c8846-4a2f-47e8-8a16-11a10b200aea
15,R.R.S.-INTERNATIONAL GmbH,Dietrichstr. 11 72250  Freudenstadt-Lauterbad,info@rrs-international.de,(07441) 5 20 38 82,https://www.gelbeseiten.de/gsbiz/8fce60ad-4c8f-45a5-a600-6fcd97a682ba
16,GRW Anlagenbau GmbH,Am Lindenbach 11 96515  Sonneberg-Malmerz,info@grw-son.de,(03675) 4 29 50 00,https://www.gelbeseiten.de/gsbiz/4f08d572-f220-496a-bcd0-4608fef26ce6
17,AWT Abwassertechnik GmbH,Schwarzheider Str. 22 01979  Lauchhammer,info@bau-frenzel.de,(03574) 4 60 19 31,https://www.gelbeseiten.de/gsbiz/a442aa0c-7d8d-4b35-a06f-3ad29bc147f8
18,Kistner Anlagenbau GmbH,Dr.-Rudolf-Quast-Str. 8 59425  Unna,,(02303) 23 74 25,https://www.gelbeseiten.de/gsbiz/0e2b5ca2-e2eb-4427-9806-54b8c30cd5dc
19,Thienelt,Karl-Marx-Str. 6 03103  Neupetershain-Neupetershain Nord,thienelt-heizungsbau@gmx.de,(035751) 90 80,https://www.gelbeseiten.de/gsbiz/57b6ac82-2759-489d-bddd-d12f188d6888
20,Thienelt,Karl-Marx-Str. 6 03103  Neupetershain-Neupetershain Nord,thienelt-heizungsbau@gmx.de,(035751) 90 80,https://www.gelbeseiten.de/gsbiz/57b6ac82-2759-489d-bddd-d12f188d6888
21,Klär- und Abwassertechnik Kühne,Dorfstr. 20 09603  Großschirma-Obergruna,info@klaeranlagen-kuehne.de,(037324) 74 83,https://www.gelbeseiten.de/gsbiz/b6516fb2-6914-46e6-97a2-ebc6de752781
22,T & E Erdbau GmbH,Hauptstr. 45 08459  Neukirchen,info@erd-bau.de,(03762) 4 22 56,https://www.gelbeseiten.de/gsbiz/9b9a9f79-1c08-4878-91bc-05c8277a1573
23,T & E Erdbau GmbH,Hauptstr. 45 08459  Neukirchen,info@erd-bau.de,(03762) 4 22 56,https://www.gelbeseiten.de/gsbiz/9b9a9f79-1c08-4878-91bc-05c8277a1573
24,ERGO! GmbH,Hatzfelder Str. 213 42281  Wuppertal-Barmen,ergo@movado-gruppe.de,(0202) 26 48 03 40,https://www.gelbeseiten.de/gsbiz/582b06f7-0ff1-4c20-af5a-60a3760271f0
25,Halfbrodt + Kraft GmbH,Sarninghausen 35 31595  Steyerberg-Sarninghausen,info@halfbrodt-kraft.de,(05764) 23 48,https://www.gelbeseiten.de/gsbiz/3dc2fedc-c4ab-44fe-a2db-6426909bd258
26,GE Boiler Deutschland GmbH,Augsburger Str. 712 70329  Stuttgart-Obertürkheim,info@corporate.ge.com,(0711) 9 17-01,https://www.gelbeseiten.de/gsbiz/e7b65244-fe7e-49b1-88ae-77bb178f89ec
27,Abwassertechnik und Umweltsanierung GmbH,Schwarzheider Str. 22 01979  Lauchhammer,info@bau-frenzel.de,(03574) 4 60 19 31,https://www.gelbeseiten.de/gsbiz/a442aa0c-7d8d-4b35-a06f-3ad29bc147f8
28,Thienelt,Karl-Marx-Str. 6 03103  Neupetershain-Neupetershain Nord,thienelt-heizungsbau@gmx.de,(035751) 90 80,https://www.gelbeseiten.de/gsbiz/57b6ac82-2759-489d-bddd-d12f188d6888
29,"Peter Spieleder GmbH, Tankschutz",Lilienthalstraße 4 67681  Sembach,spieleder-gmbh@t-online.de,(06303) 98 38 70,https://www.gelbeseiten.de/gsbiz/b48a6b86-2aa9-47ff-9f57-c28a4f0f003c
30,Peter Spieleder GmbH,Gewerbepark 67681  Sembach,spieleder-gmbh@t-online.de,(06303) 98 38 70,https://www.gelbeseiten.de/gsbiz/c8a84313-8ae8-4e52-b35b-501f5c98eea0
31,"Krauß & Blank GmbH, Maschinen-Anlagenbau",In den Wintergärten 1 67697  Otterberg,kraussblankgmbh@aol.com,(06301) 22 91,https://www.gelbeseiten.de/gsbiz/bb03ba47-ebf4-4b3c-a323-2e9a34f0aed8
32,Abwassertechnik Schubert GmbH,Kirchstraße 7 08321  Zschorlau-Albernau,info@abwassertechnik-schubert.de,(03771) 2 53 95 70,https://www.gelbeseiten.de/gsbiz/4a16af38-db9c-4da2-a8f4-3fb937cf169f
33,SMI - ANLAGENTECHNIK,Gutjahrstr. 12 44287  Dortmund-Aplerbeck,,(0231) 53 36 83 60,https://www.gelbeseiten.de/gsbiz/6301b751-ac68-44ff-b2c6-fb90ba02f9aa
34,KMI GmbH,Nickrischer Str. 18 02827  Görlitz-Hagenwerder,kmi_gmbh@gmx.de,(035822) 6 50,https://www.gelbeseiten.de/gsbiz/14eab661-6b43-4ae2-8dce-8c11dafd91f3
35,Popko Elektroinstallation und Anlagenbau GmbH,Springbarg 10 29482  Küsten-Lübeln,,(05841) 43 55,https://www.gelbeseiten.de/gsbiz/dd504250-96c0-4c0f-bcf5-97ac477e4f28
36,SKT Anlagentechnik,Dorfaue 64 16727  Oberkrämer-Bötzow,,(03304) 25 48 25,https://www.gelbeseiten.de/gsbiz/4855eb2b-d8da-4d91-a29c-5aa41b7b346a
37,SKT Anlagentechnik,Dorfaue 64 16727  Oberkrämer-Bötzow,,(03304) 25 48 26,https://www.gelbeseiten.de/gsbiz/e100da5c-64a7-457a-9e08-33ecb32f1c41
38,SKT Anlagentechnik,Dorfaue 64 16727  Oberkrämer-Bötzow,,(03304) 25 48 27,https://www.gelbeseiten.de/gsbiz/ff146e85-4eee-4397-b778-a5b63a5ca3f8
39,Baufirma Loose & Co. GmbH,Ziegelei 6 09573  Leubsdorf-Schellenberg,,(037291) 39 40,https://www.gelbeseiten.de/gsbiz/aa02ff21-2a42-48ad-bdcd-7869a4f1ed9f
