Nr,Name,Email,Telefon,Web
1,Bauunternehmen Ulrich,bauunternehmenulrich@t-online.de,(06371) 5 70 12,https://www.gelbeseiten.de/gsbiz/70085054-2a02-463d-8579-8e264d8bd84b
2,Josef Schmitz GmbH   Hoch- und Tiefbau,info@josef-schmitz.de,(06575) 41 63,https://www.gelbeseiten.de/gsbiz/356db1a4-bc55-4c34-9c83-6fd6e776c82c
3,Bruno Klein GmbH & Co.KG,kontakt@bau-klein.de,(06597) 9 29 60,https://www.gelbeseiten.de/gsbiz/175f8ae2-03a5-4e82-9603-7ea0addb1d40
4,Spezialschalungsbau Malchow-Massivhaus,info@malchow-massivbau.de,(039886) 31 29,https://www.gelbeseiten.de/gsbiz/146f3dfe-2e43-443e-8e7f-b693366bb44e
5,W & G Bauunternehmung GmbH,info@wg-hochbau.de,(06363) 99 37 90,https://www.gelbeseiten.de/gsbiz/c71283c5-559a-4aed-ad57-7c6f0a2edeeb
6,WOLFF HOCH- UND INGENIEURBAU GMBH & CO. KG,info@wolff-hochbau.de,(0681) 8 70 20,https://www.gelbeseiten.de/gsbiz/6fb8948a-9d08-417e-9155-becf2af5954c
7,Augel GmbH,info@augel.de,(02655) 9 50 00,https://www.gelbeseiten.de/gsbiz/5d1a23d8-d3f3-461c-b738-f3e27c107ba9
8,Baugeschäft Spöck,info@baugeschaeft-spoeck.de,(08032) 84 20,https://www.gelbeseiten.de/gsbiz/716493d9-d9c0-4eb8-bc1a-366dd846d5fa
9,"Bauunternehmen F. Gerber GmbH & Co. KG Hoch-, Tief- & Straßenbau",info@gerber-bau.de,(07666) 94 47 90,https://www.gelbeseiten.de/gsbiz/c8b459a5-7a9a-4378-b51c-0625164ce48f
10,Brunetti Alois,bau@ab-brunetti.de,(08141) 96 47,https://www.gelbeseiten.de/gsbiz/26700330-d9a3-4f48-a46a-76048101ad1f
11,Ernst Binder GmbH & Co. KG,binder-geslau@t-online.de,(09867) 97 82 80,https://www.gelbeseiten.de/gsbiz/9f62969a-8582-433d-ba0d-8a95d2cbf212
12,Koch GmbH,info@koch-gmbh-bau.de,(0202) 6 07 02 91,https://www.gelbeseiten.de/gsbiz/e0c793a0-9241-4aea-9688-4e72a56ae5c3
13,Martin Heilmann GmbH,info@bau-heilmann.de,(08092) 3 19 97,https://www.gelbeseiten.de/gsbiz/0af5ea70-e87d-4340-8f87-6af29313f9ed
14,Mayer Hoch- und Tiefbau GmbH,info@mayer-hochtiefbau.de,(08663) 53-0,https://www.gelbeseiten.de/gsbiz/6aaed937-93d1-427f-81d7-8636f45d51c2
15,Ostler Hochbauplanung GbR,info@buero-ostler.de,(08821) 9 35 10,https://www.gelbeseiten.de/gsbiz/fd3f5d67-8b40-4f83-8f9d-be22248dbe83
16,Austermann Baugesellschaft mbH,jens.austermann@t-online.de,(036428) 54 99 45,https://www.gelbeseiten.de/gsbiz/01d76eba-c669-4d07-b534-ad1d42d28eb5
17,Baugeschäft André Lehmann,lehmann-andre@t-online.de,(03643) 82 56 92,https://www.gelbeseiten.de/gsbiz/8d16b918-f5dd-467a-8c7f-c59360e22fed
18,Baustoffe Johannknecht GmbH,info@johannknecht-baustoffe.de,(05241) 50 51 90,https://www.gelbeseiten.de/gsbiz/027cddc1-5a12-4445-a278-815ecef17409
19,Bauunternehmen Benno Müller,info@bauen-mit-mueller.de,(07363) 51 84,https://www.gelbeseiten.de/gsbiz/1bbf9d00-8c2e-47a0-931b-354d6f60c27b
20,Bauunternehmen WETTERAU Bau GmbH,info@wetterau-bau.de,(03691) 20 37 21,https://www.gelbeseiten.de/gsbiz/e62366da-69cc-44fd-bb6e-83120462ec44
21,Michael Gärtner GmbH,oblt@michaelgaertner.de,(03628) 6 63 93-0,https://www.gelbeseiten.de/gsbiz/af1499bc-d1cd-4c7c-86ea-52b25d29a472
22,SBH Hoch- und Ausbau GmbH,info@sbh-ausbau.de,(034493) 7 27 27-0,https://www.gelbeseiten.de/gsbiz/603663e5-db62-45c3-8cfd-87d6418efafa
23,Zimmermann-Bau GmbH Bauunternehmen,info@zimmermann-bau.de,(07635) 82 47 11,https://www.gelbeseiten.de/gsbiz/65970138-8e6e-46e0-af11-07cef57134a2
24,Barra Hans Straßen- und Tiefbau,info@hans-barra-tiefbau.de,(0431) 24 11 69,https://www.gelbeseiten.de/gsbiz/67b3786c-db12-4ba3-b321-6834464536ba
25,Baugesellschaft Turnus GmbH,info@turnusbau.de,(06071) 3 53 82,https://www.gelbeseiten.de/gsbiz/d1fa558f-cf4d-437b-8b52-4fbabdd17eb4
26,M.H.V. Hoch & Tiefbau GmbH,m.h.v.hoch-tiefbau@t-online.de,(06621) 16 99 47,https://www.gelbeseiten.de/gsbiz/41498f7e-6be6-44aa-9046-099c2533979f
