Nr,Name,Address,Email,Telefon,Web
1,BTS GMBH,In der Trenkgasse 74a 99634  Werningshausen,info@btsgmbh.com,(0162) 2 83 80 32,https://www.gelbeseiten.de/gsbiz/1a620fc2-ff8d-4763-88be-98afe34b85c0
2,Hertel GmbH,Zum Hutbergblick 12 01328  Dresden-Weißig,office@herteldresden.de,(0351) 42 55 60,https://www.gelbeseiten.de/gsbiz/a91c6bc0-befb-4530-be42-64dad510c440
3,Pumpen Lehmann GmbH,Sonnenallee 224G 12059  Berlin-Neukölln,info@pumpen-lehmann.de,(030) 6 83 91 30,https://www.gelbeseiten.de/gsbiz/5799b04d-2194-429d-a74a-e7fc349b9284
4,SCHULZE & DIEMAR GmbH & Co.KG,Muskauer Str. 12 03185  Teichland-Neuendorf,neuendorf@schulze-diemar.de,(035601) 3 01 42,https://www.gelbeseiten.de/gsbiz/237f2a41-b9d5-4e65-ae20-2ad2e7cd8ca6
5,SCHULZE & DIEMAR GmbH & Co.KG,Muskauer Str. 12 03185  Teichland-Neuendorf,neuendorf@schulze-diemar.de,(035601) 3 01 42,https://www.gelbeseiten.de/gsbiz/237f2a41-b9d5-4e65-ae20-2ad2e7cd8ca6
6,FIROBAU,Weststr. 2 57539  Roth,info@firobau.de,(02742) 9 11 51 43,https://www.gelbeseiten.de/gsbiz/c9dfcca7-c3c0-447f-9609-0a878642d24f
7,Scheffler GmbH & Co.KG,Ernst-Abbe-Str. 26 89079  Ulm-Donautal,,(0731) 96 64 80,https://www.gelbeseiten.de/gsbiz/5f0b6182-037b-451b-888e-359509ae8cb5
8,TrappInfra Rohrbau Welzow GmbH,Schachtbauring 7 03119  Welzow,kehring@trapp.de,(035751) 27 52-0,https://www.gelbeseiten.de/gsbiz/da8f6b66-2448-4cb7-880d-3139ae99f95b
9,Ademi Bauunternehmen,Moselstr. 5 51371  Leverkusen-Bürrig,fa.ademi@t-online.de,(0214) 7 46 09,https://www.gelbeseiten.de/gsbiz/44c7deec-0c78-4ad2-94f0-7aaa85c260d2
10,ARB Anlagen- und Rohrleitungsbau GmbH,Im Pottaschwald 1-3 66386  St. Ingbert,info@a-r-b.eu,(06894) 8 95 87 80,https://www.gelbeseiten.de/gsbiz/163a504f-f442-44ad-bb47-e551c43ee4bd
11,ASK Schneider August GmbH & Co. KG,Am Goldenen Feld 27 95326  Kulmbach,info@ask-gruppe.de,(09221) 97 46-0,https://www.gelbeseiten.de/gsbiz/22028792-b3d9-4d81-ac5c-6f0d0c29afb2
12,e.ATN Rohrleitungsbau GmbH,Nymburk-Ring 5 16816  Neuruppin,info@eatn.de,(03391) 45 17-0,https://www.gelbeseiten.de/gsbiz/256e3c19-992c-4bc1-8ea1-50a04586d3c4
13,EHI GmbH,Lange Str. 21 31832  Springe-Eldagsen,,(05044) 2 03,https://www.gelbeseiten.de/gsbiz/d58e5260-bb9e-4278-8b31-6f57628a44f1
14,Hassold SHL Rohrleitungsbau GmbH,Winterhäuser Str. 99 97084  Würzburg-Heidingsfeld,mail@firmengruppe-goebel.de,(0931) 20 02 03-0,https://www.gelbeseiten.de/gsbiz/8cb0f25a-94c4-4626-a95c-e3fd35b4a78f
15,HECKHOFF GMBH,Bochumer Str. 7 42279  Wuppertal-Barmen,info@heckhoff.de,(0202) 2 60 46 30,https://www.gelbeseiten.de/gsbiz/672cdf48-4a41-40e2-b227-41d133394342
16,Heine Brunnen- und Rohrleitungsbaugesellschaft mbH,Gewerbestr. 5 08412  Werdau-Langenhessen,info@heine-rohrbau.de,(03761) 35 87,https://www.gelbeseiten.de/gsbiz/dac5c878-a619-454e-9a60-8eb47eda14fe
17,HIT GmbH,Klosterwuhne 27 39126  Magdeburg-Neustädter See,hit-md@t-online.de,(0391) 25 46 40,https://www.gelbeseiten.de/gsbiz/59ada671-30e5-44d2-9584-98ce0f347c81
18,Klaus Meinhard Heizung Sanitär GmbH,Geisweider Str. 142 57078  Siegen-Geisweid,info@meinhard-siegen.de,(0271) 7 46 62,https://www.gelbeseiten.de/gsbiz/4bb9c05e-72d2-403d-bed6-385db464775b
19,Kölling GmbH,Heidestr. 4A 01561  Ebersbach-Bieberach,info@koelling-gmbh.de,(035248) 84 30,https://www.gelbeseiten.de/gsbiz/69a41e4d-ddba-448f-a529-34b068c5c09a
20,KSC Kraftwerks-Service Cottbus Anlagenbau GmbH,Im Kraftwerk 03185  Peitz-Stadtmitte,info@ksc-anlagenbau.de,(035601) 8 19-0,https://www.gelbeseiten.de/gsbiz/6d490e18-5d00-4f1b-a55e-1e228b77a2ad
